"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baltinglass, Wicklow Division",33
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Banagher, Laois/Offaly Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bandon, Cork West Division",35
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bangor Erris, Mayo Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bansha, Tipperary Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bantry, Cork West Division",22
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Barnaderg, Galway Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Barraduff, Kerry Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","BÈal aÅtha an Ghaorthaidh, Cork West Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","BÈal an Mhuirthead, Mayo Division",10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Belturbet, Cavan/Monaghan Division",15
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bennettsbridge, Kilkenny/Carlow Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Birr,  Laois/Offaly Division",37
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bishopstown, Cork City Division",24
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blacklion, Cavan/Monaghan Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackrock, Co Cork, Cork City Division",35
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackrock, Co Dublin, D.M.R. Eastern Division",59
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackrock, Co Louth, Louth Division",15
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackwater, Wexford Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blanchardstown, D.M.R. Western Division",226
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blarney, Cork City Division",22
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blessington, Wicklow Division",33
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Boherbue, Cork West Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bonniconlon, Mayo Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borris, Kilkenny/Carlow Division",15
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borris-In-Ossory, Laois/Offaly Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borrisokane, Tipperary Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borrisoleigh, Tipperary Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bothar Na Tra, Galway Division",47
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Boyle, Roscommon/Longford Division",20
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bray, Wicklow Division",134
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bridewell Cork, Cork City Division",177
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bridewell Dublin, D.M.R. North Central Division",127
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bruff, Limerick Division",10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bruree, Limerick Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bunclody, Wexford Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Buncrana, Donegal Division",52
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bundoran, Donegal Division",31
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Burnfoot, Donegal Division",14
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Buttevant, Cork North Division",17
