Station,Division,name,lon,lat,"03 ,Attempts/threats to murder, assaults, harassments and related offences","04 ,Dangerous or negligent acts","05 ,Kidnapping and related offences","06 ,Robbery, extortion and hijacking offences","07 ,Burglary and related offences","08 ,Theft and related offences","09 ,Fraud, deception and related offences","10 ,Controlled drug offences","11 ,Weapons and Explosives Offences","12 ,Damage to property and to the environment","13 ,Public order and other social code offences","15 ,Offences against government, justice procedures and organisation of crime"
Ballydesmond, Cork West Division,Ballydesmond,-9.230971,52.178235,2,2,0,0,5,7,1,0,0,3,0,2
Ballyduff,  Co. Kerry. Kerry Division,,-9.6631,52.45585,8,6,0,0,8,2,0,8,2,4,15,0
Ballyfermot, D.M.R. Western Division,Ballyfermot,-6.357991,53.34476,91,63,2,36,275,706,52,181,27,339,190,23
Ballygar, Galway Division,Ballygar,-8.328389999999999,53.521866,4,3,0,0,3,6,1,1,0,3,4,0
Ballyhale, Kilkenny/Carlow Division,Ballyhale,-7.2015270000000005,52.468333,1,1,0,0,4,10,1,2,1,8,2,1
Ballyhaunis, Mayo Division,Ballyhaunis,-8.767407,53.763974,15,8,0,1,16,36,3,3,0,17,20,0
Ballyheigue, Kerry Division,Ballyheigue,-9.827458,52.389174,8,2,0,0,3,7,0,7,0,13,6,0
Ballyjamesduff, Cavan/Monaghan Division,Ballyjamesduff,-7.208767,53.86311,18,8,4,0,9,18,2,3,2,11,15,1
Ballylanders, Limerick Division,Ballylanders,-8.345469999999999,52.37070900000001,4,2,1,0,14,20,2,0,0,10,8,2
Ballylinan, Laois/Offaly Division,Ballylinan,-7.043236,52.942954,3,0,0,0,32,20,0,0,0,8,5,0
Ballymacarberry, Waterford Division,Ballymacarberry,-7.717707000000001,52.267228,6,5,0,0,8,2,0,0,0,2,6,0
Ballymahon, Roscommon/Longford Division,Ballymahon,-7.760849,53.56131,21,8,0,0,32,30,5,15,3,39,39,3
Ballymore, Westmeath Division,Ballymore,-7.681731,53.49108199999999,2,2,0,1,9,11,1,0,2,2,3,0
Ballymote, Sligo/Leitrim Division,Ballymote,-8.515224,54.087429,12,8,0,0,10,23,1,7,3,18,18,12
Ballymun, D.M.R. Northern Division,Ballymun,-6.26371,53.39453100000001,127,41,1,40,163,651,27,262,32,367,170,32
Ballynacargy, Westmeath Division,Ballynacargy,-7.534945,53.586311,6,1,0,0,7,7,1,0,0,7,2,2
Ballyneety, Limerick Division,Ballyneety,-8.548932,52.597271,4,2,0,0,27,46,2,0,0,13,1,1
Ballynoe, Cork North Division,Ballynoe,-8.099306,52.060207,5,2,0,0,4,4,0,0,0,10,2,0
Ballyporeen, Tipperary Division,Ballyporeen,-8.097746,52.270205,5,2,0,0,5,6,0,2,0,4,4,0
Ballyshannon, Donegal Division,Ballyshannon,-8.204817,54.49874300000001,12,5,1,1,16,23,3,30,3,24,35,10
Ballyvaughan, Clare Division,Ballyvaughan,-9.147112,53.116153,2,1,0,0,6,11,0,1,0,4,3,0
Baltimore, Cork West Division,Baltimore,-9.372258,51.483488,0,2,0,0,0,1,0,0,0,3,0,0
Baltinglass, Wicklow Division,Baltinglass,-6.709772,52.938986,33,1,0,2,43,68,9,12,2,33,17,3
Banagher, Laois/Offaly Division,Banagher,-7.9859300000000015,53.190536,4,4,0,1,6,19,0,2,0,6,4,0
Bandon, Cork West Division,Bandon,-8.739863,51.74508400000001,35,24,1,0,21,101,18,41,3,42,106,35
Bangor Erris, Mayo Division,Bangor Erris,-9.747078,54.143979,4,5,0,0,3,4,0,1,0,3,3,0
Bansha, Tipperary Division,Bansha,-8.065584,52.449254,1,4,0,0,5,14,0,0,0,4,3,2
Bantry, Cork West Division,Bantry,-9.455239,51.68027,22,15,0,0,13,31,7,32,4,29,90,15
Barnaderg, Galway Division,Barnaderg,-8.722468,53.480544,4,2,0,0,5,9,2,0,1,3,1,0
Barraduff, Kerry Division,Barraduff,-9.340943,52.059764,0,0,0,0,3,0,0,0,0,1,0,0
Belturbet, Cavan/Monaghan Division,Belturbet,-7.442614999999999,54.101166000000006,15,3,0,0,11,66,2,4,1,13,8,2
Bennettsbridge, Kilkenny/Carlow Division,Bennetsbridge,-7.1832410000000015,52.59030300000001,1,5,0,0,10,11,1,4,0,2,5,0
Birr,  Laois/Offaly Division,Birr,-7.911523,53.096052,37,11,0,4,53,119,4,7,2,51,68,8
Bishopstown, Cork City Division,Bishopstown,-8.514534,51.880667,24,19,3,5,64,350,13,27,0,55,86,5
Blacklion, Cavan/Monaghan Division,Blacklion,-7.876192,54.291479,1,0,0,0,3,5,0,1,0,1,1,7
Blackrock, Cork City Division,Blackrock,-8.40431,51.894335,35,26,0,4,42,243,13,51,14,59,79,3
Blackrock, D.M.R. Eastern Division,Blackrock,-6.177504,53.299805000000006,59,35,0,17,353,620,67,31,18,142,162,6
Blackrock, Louth Division,Blackrock,-6.368241,53.963757,15,6,0,0,44,64,3,3,1,34,17,1
Blackwater, Wexford Division,Blackwater,-6.348826,52.445411,3,7,0,0,26,37,0,1,0,12,3,0
Blanchardstown, D.M.R. Western Division,Blanchardstown,-6.380975,53.38992,226,120,2,118,692,2344,149,303,50,748,330,439
Blarney, Cork City Division,Blarney,-8.567658,51.931964,22,20,0,0,26,84,2,33,4,49,29,3
Blessington, Wicklow Division,Blessington,-6.533734,53.17026600000001,33,11,0,2,69,148,6,27,1,50,38,2
Boherbue, Cork West Division,Boherbue,-9.069752000000001,52.158972,4,1,0,0,9,13,0,2,0,5,9,1
Bonniconlon, Mayo Division,Bonniconlon,-9.028962,54.10955300000001,4,1,0,0,5,9,0,3,1,3,1,0
Borris, Kilkenny/Carlow Division,Borris,-6.929311,52.601802,15,1,0,0,9,21,1,3,1,11,7,0
Borris-In-Ossory, Laois/Offaly Division,Borris-in-Ossory,-7.628803,52.939297,0,4,0,0,19,24,1,1,0,4,0,0
Borrisokane, Tipperary Division,Borrisokane,-8.127013,52.99711800000001,7,7,0,0,6,18,0,4,0,8,4,1
Borrisoleigh, Tipperary Division,Borrisoleigh,-7.955371,52.75149,3,0,0,0,9,16,2,1,0,5,2,0
Bothar Na Tra, Galway Division,Salthill,-9.079714,53.258788,47,30,0,3,144,137,18,29,2,109,164,17
Boyle, Roscommon/Longford Division,Boyle,-8.300395,53.97337,20,3,0,1,22,45,8,9,0,17,25,0
Bray, Wicklow Division,Bray,-6.100594999999998,53.19867900000001,134,50,1,17,227,733,53,229,28,299,407,148
Bridewell Cork, Cork City Division,Bridewell,-8.477045,51.900553,177,40,0,21,106,509,36,80,16,166,527,49
Bridewell Dublin, D.M.R. North Central Division,Bridewell,-6.27413,53.34708000000001,127,43,3,58,208,891,49,159,38,358,346,3138
Bruff, Limerick Division,Bruff,-8.546975,52.47733,10,1,0,0,7,28,1,2,0,15,25,4
Bruree, Limerick Division,Bruree,-8.650418,52.42316,4,1,0,0,19,19,0,1,0,3,6,4
Bunclody, Wexford Division,Bunclody,-6.662477,52.656758,12,10,0,1,42,55,3,3,0,20,9,0
Buncrana, Donegal Division,Buncrana,-7.450711,55.1315,52,24,0,0,16,84,7,11,4,42,100,10
Bundoran, Donegal Division,Bundoran,-8.279344,54.47655400000001,31,13,0,0,14,34,4,36,2,22,115,7
Burnfoot, Donegal Division,Burnfoot,-7.401575999999999,55.054674,14,13,0,1,9,31,2,4,3,28,19,3
Buttevant, Cork North Division,,-8.671275,52.229313,17,5,0,0,13,32,1,4,1,18,25,0
B̩al an Mhuirthead, Mayo Division,Belmullet,-9.985584,54.221746,10,13,0,0,6,9,0,3,1,8,23,4
B̩al a�tha an Ghaorthaidh, Cork West Division,Ballingeary,-9.228983,51.851864,1,2,0,0,2,4,1,0,0,2,0,0
Cabinteely, D.M.R. Eastern Division,Cabinteely,-6.150651,53.260789,84,27,1,11,354,514,29,38,5,160,103,13
Cabra, D.M.R. Western Division,Cabra,-6.30764,53.364985,65,19,0,27,147,571,77,84,8,311,94,14
Caherciveen, Kerry Division,Caherciveen,-10.219832,51.946966,15,2,0,0,13,23,5,5,0,11,26,1
Caherconlish, Limerick Division,Caherconlish,-8.469536,52.593816,4,1,0,1,17,41,1,3,0,11,6,2
Cahir, Tipperary Division,Cahir,-7.920298,52.375972,24,25,0,1,35,36,4,17,2,23,35,6
Callan, Kilkenny/Carlow Division,Callan,-7.391039,52.542375,12,1,0,0,31,37,5,4,2,28,15,4
Campile, Wexford Division,Campile,-6.939622,52.28778300000001,4,3,0,0,2,10,4,2,0,11,5,0
Cappamore, Limerick Division,Cappamore,-8.338486,52.614671,4,2,0,0,11,14,0,0,0,9,7,0
Cappawhite, Tipperary Division,Cappawhite,-8.164835,52.583158,4,5,0,0,9,22,2,3,0,3,1,0
Cappoquin, Waterford Division,Cappoquin,-7.845723,52.145886,13,2,0,1,10,18,3,3,0,11,10,0
Carbury, Kildare Division,Carbury,-6.936698,53.338463,9,9,0,0,37,98,1,3,5,26,6,3
Carlingford, Louth Division,Carlingford,-6.187213,54.041228,11,4,0,1,10,50,2,2,1,25,22,2
Carlow, Kilkenny/Carlow Division,Carlow,-6.929317,52.840527,124,78,1,17,260,531,27,152,21,204,421,56
Carna, Galway Division,Carna,-9.824405,53.323548,4,4,0,0,2,9,0,0,0,4,5,1
Carndonagh, Donegal Division,Carndonagh,-7.259461,55.25350600000001,27,11,0,0,12,38,0,4,0,24,22,7
Carnew, Wicklow Division,Carnew,-6.491768,52.71050699999999,4,0,0,0,21,14,5,0,0,10,2,0
Carraig Airt, Donegal Division,Carrick,-8.63309,54.65788000000001,16,6,0,0,10,4,0,0,0,19,9,0
Carrick-On-Shannon, Sligo/Leitrim Division,Carrick-on-Shannon,-8.09015,53.944337,48,34,0,0,20,105,18,33,4,56,149,13
Carrick-On-Suir, Tipperary Division,Carrick-on-Suir,-7.409894,52.348154,26,12,1,1,47,80,7,38,4,32,43,15
Carrick-on-Bannow, Wexford Division,Carrick-on-Bannow,-6.734023,52.238145,3,1,0,0,12,12,2,0,1,7,2,3
Carrickbyrne, Wexford Division,Carrickbyrne,-6.7597130000000005,52.362377,1,6,0,0,20,11,0,10,0,6,9,3
Carrickmacross, Cavan/Monaghan Division,Carrickmacross,-6.718775999999999,53.976059,41,30,1,2,38,101,8,15,2,68,148,16
Carrigaline, Cork City Division,Carrigaline,-8.391535000000001,51.814833,34,15,0,1,12,101,12,32,0,54,66,2
Carrigallen, Sligo/Leitrim Division,Carrigallen,-7.646708,53.975591,3,0,0,0,8,7,2,1,0,4,0,1
Carrigans, Donegal Division,Carrigans,-7.426749000000001,54.951187,9,5,0,0,23,10,0,0,0,12,6,1
Carrigtwohill, Cork North Division,Carrigtwohil,-8.261819000000001,51.909467,17,16,1,1,7,43,2,6,1,16,13,0
Cashel, Tipperary Division,Cashel,-7.890302,52.516336,28,26,0,0,31,87,6,15,1,21,29,15
Castlebar, Mayo Division,Castlebar,-9.297628,53.853436,108,46,0,2,47,242,29,45,6,120,208,30
Castlebellingham, Louth Division,Castlebellingham,-6.389939,53.899264,12,11,1,1,61,108,2,4,1,24,8,1
Castleblayney, Cavan/Monaghan Division,Castleblaney,-6.735032,54.117858,38,55,0,0,31,63,10,6,5,71,161,4
Castlebridge, Wexford Division,Castlebridge,-6.452561,52.384712,6,10,0,0,18,54,4,4,2,14,10,7
Castlecomer, Kilkenny/Carlow Division,Castlecomer,-7.2095410000000015,52.79926500000001,10,2,0,2,42,38,0,5,1,32,30,4
Castleconnell, Limerick Division,Castleconnel,-8.49847,52.713406000000006,7,6,0,1,36,96,2,4,8,25,20,6
Castledermot, Kildare Division,Castledermot,-6.849182000000001,52.909221,7,3,0,1,47,38,1,3,1,23,4,0
Castlefin, Donegal Division,Castlefinn,-7.595233,54.8027,12,12,0,2,10,12,1,4,0,16,4,1
Castlegregory, Kerry Division,Castlegregory,-10.020617,52.254163,4,1,0,0,8,19,0,1,0,6,1,0
Castleisland, Kerry Division,Castleisland,-9.467496,52.230794,12,14,0,0,7,33,4,18,3,16,14,8
Castlemaine, Kerry Division,Castlemaine,-9.700593,52.170229,0,3,0,0,1,11,3,2,0,2,5,1
Castlepollard, Westmeath Division,Castlepollard,-7.296635,53.678482,1,2,0,1,8,28,1,2,0,12,6,0
Castlerea, Roscommon/Longford Division,Castlerea,-8.484061,53.766632,97,8,0,0,27,52,7,36,4,29,45,35
Castletownbere, Cork West Division,Castletownbere,-9.914682,51.649482,7,1,0,0,6,13,2,0,0,8,3,0
Castletownroche, Cork North Division,Castletownroche,-8.467951,52.170729,4,3,0,0,11,19,1,14,0,11,3,0
Cavan, Cavan/Monaghan Division,Cavan,-7.360879,53.993329,122,54,4,5,88,296,34,96,19,112,200,49
Celbridge, Kildare Division,Celbridge,-6.541734,53.343999,26,17,0,7,118,349,13,25,2,94,44,8
Charlestown, Mayo Division,Charlestown,-8.793514,53.962745,14,4,0,0,12,24,1,1,3,14,14,2
Charleville, Cork North Division,Charleville,-8.682567,52.356054,19,26,0,0,28,92,7,6,4,36,50,4
Cill Ronain, Galway Division,Cill Ronain,-9.667817999999999,53.121306,3,0,0,0,0,1,0,0,0,9,4,0
Clane, Kildare Division,Clane,-6.685898,53.293654,33,14,0,2,97,151,4,17,7,65,34,4
Clara, Laois/Offaly Division,Clara,-7.614105,53.345415,8,6,0,0,25,28,4,13,4,20,7,2
Claremorris, Mayo Division,Claremorris,-9.000249,53.722297,23,12,0,1,10,49,11,6,1,14,44,2
Clifden, Galway Division,Clifden,-10.009242,53.488185,16,15,0,0,8,24,8,9,2,45,40,3
Cloghan, Laois/Offaly Division,Cloghan,-7.877516,53.224847,3,3,0,1,5,4,1,0,0,6,1,0
Clogheen, Tipperary Division,Clogheen,-7.995338,52.276899,4,2,0,0,5,16,0,0,0,5,5,0
Clogher, Donegal Division,Clogher,-8.4275,54.836778,0,0,0,0,0,0,0,0,0,2,0,0
Clogherhead, Louth Division,Clogherhead,-6.242661,53.790411,11,4,0,0,24,96,3,3,1,39,11,5
Clonakilty, Cork West Division,Clonakilty,-8.888908000000002,51.624951,27,8,0,0,17,70,4,23,0,23,78,16
Clonark, Roscommon/Longford Division,Clonark,-8.034655,53.368396,4,2,0,2,10,20,0,1,0,6,1,0
Clonaslee, Laois/Offaly Division,Clonaslee,-7.526043,53.148619,4,1,0,0,6,11,3,0,0,6,2,0
Clonbologue, Laois/Offaly Division,Clonbologue,-7.0857600000000005,53.259142,2,0,0,0,15,6,1,1,0,4,2,0
Clondalkin, D.M.R. Western Division,Clondalkin,-6.394958,53.323146,120,80,2,90,356,1123,63,212,46,367,211,36
Clones, Cavan/Monaghan Division,Clones,-7.228158,54.177489,17,6,0,0,4,38,2,4,1,11,6,1
Clonmany, Donegal Division,Clonmany,-7.412816999999999,55.263009,5,1,0,0,1,4,0,0,1,10,18,0
Clonmel, Tipperary Division,Clonmel,-7.6999369999999985,52.354092,94,65,1,8,118,319,14,201,21,117,269,28
Clonroche, Wexford Division,Clonroche,-6.715872999999998,52.450375,2,2,1,0,20,22,3,2,0,3,8,0
Clontarf, D.M.R. Northern Division,Clontarf,-6.220152,53.363544,51,35,2,30,356,669,36,69,13,229,110,14
Cloughjordan, Tipperary Division,Cloughjordan,-8.039714,52.94196700000001,2,1,0,0,1,8,0,1,0,4,1,0
Cloyne, Cork North Division,Cloyne,-8.123499,51.86276,3,2,0,0,2,11,1,7,0,6,3,0
Coachford, Cork West Division,Coachford,-8.791136,51.909134,6,6,0,0,6,30,2,3,1,9,6,0
Cobh, Cork North Division,Cobh,-8.303642,51.84824,60,15,0,1,19,78,4,35,1,58,121,6
Collon, Louth Division,Collon,-6.484901,53.77785400000001,5,3,0,1,10,15,2,1,0,0,2,0
Collooney, Sligo/Leitrim Division,Collooney,-8.487866,54.185481,8,7,0,0,14,27,9,3,0,19,12,2
Cong, Mayo Division,Cong,-9.286535,53.541468,4,0,0,0,12,8,0,2,0,8,4,0
Convoy, Donegal Division,Convoy,-7.668991,54.859325,20,9,0,0,5,16,3,5,1,21,11,0
Coolaney, Sligo/Leitrim Division,Coolaney,-8.603388,54.172371,2,2,0,0,5,8,0,2,1,1,2,3
Coolock, D.M.R. Northern Division,Coolock,-6.201099,53.390335,131,78,2,81,373,845,37,362,63,374,217,49
Cootehill, Cavan/Monaghan Division,Cootehill,-7.078703,54.074708,22,6,0,1,23,57,1,0,5,18,31,4
Corofin Co. Clare, Clare Division,Corofin,-9.068588,52.947992000000006,11,3,0,0,1,14,0,4,0,3,20,5
Corofin Co. Galway, Galway Division,Corofin,-8.863001000000002,53.437635,5,6,0,0,4,6,1,3,0,5,2,1
Courtown Harbour, Wexford Division,Courtown Harbour,-6.230528,52.644257,22,11,0,5,73,88,0,11,6,42,17,8
Craughwell, Galway Division,Craughwell,-8.733921,53.22943000000001,12,6,0,0,17,23,0,2,0,6,6,0
Creggs, Galway Division,Creggs,-8.363792,53.59486,2,1,0,0,0,0,0,0,0,1,2,0
Crookstown, Cork West Division,Crookstown,-8.801264,51.858654,7,5,0,0,3,29,1,7,1,13,4,1
Croom, Limerick Division,Croom,-8.718798,52.522001,3,3,0,0,12,43,5,1,0,16,7,1
Crosshaven, Cork City Division,Crosshaven,-8.304453,51.803976,3,4,0,0,6,25,3,5,2,19,16,3
Crossmolina, Mayo Division,Crossmolina,-9.322703,54.099814,3,3,0,0,5,17,0,4,1,9,5,1
Crumlin, D.M.R. Southern Division,Crumlin,-6.315017,53.319567000000006,90,26,3,44,283,483,43,67,19,271,97,19
Crusheen, Clare Division,Crusheen,-8.898636,52.938477,2,4,0,0,6,7,0,0,0,7,2,0
Daingean, Laois/Offaly Division,Daingean,-7.2935729999999985,53.292953,9,1,0,1,17,32,0,2,1,9,2,1
Delvin, Westmeath Division,Delvin,-7.090084,53.61445500000001,9,3,0,1,8,25,3,62,2,6,12,4
Dingle, Kerry Division,Dingle,-10.270497,52.139247,19,14,0,0,2,20,3,6,1,12,61,3
Dolla, Tipperary Division,Dolla,-8.192115,52.797134,0,1,0,0,5,11,0,0,0,2,0,0
Donegal Town, Donegal Division,Donegal,-8.111061,54.652423,34,14,0,0,10,33,6,11,2,18,58,5
Doneraile, Cork North Division,Doneraile,-8.585414,52.215706,7,2,0,0,11,19,0,1,0,12,9,2
Donnybrook, D.M.R. South Central Division,Donnybrook,-6.235914,53.32173100000001,45,29,2,24,294,811,51,61,11,137,187,4
Douglas, Cork City Division,Douglas,-8.430959,51.875091,56,23,0,1,72,228,13,64,6,90,76,7
Dowra, Cavan/Monaghan Division,Dowra,-8.01525,54.190428,2,1,0,0,2,5,0,0,0,1,1,1
Drimoleague, Cork West Division,Drimoleague,-9.263986000000001,51.659024,3,0,0,0,8,6,1,7,0,10,10,0
Drinagh, Cork West Division,Drinagh,-9.154525999999999,51.64771,0,0,0,0,4,4,0,0,0,0,0,1
Drogheda, Louth Division,Drogheda,-6.356643,53.715056,227,50,0,25,353,689,42,190,26,351,366,77
Drumad, Louth Division,Drumad,-6.360793,54.09576800000001,7,4,0,0,19,44,2,1,1,38,2,0
Drumcollogher, Limerick Division,Dromcollogher,-8.911261,52.338222,3,3,0,0,15,9,1,3,1,7,3,0
Drumlish, Roscommon/Longford Division,Drumlish,-7.765942999999999,53.821699,13,8,0,0,5,11,2,2,0,9,13,1
Drumshambo, Sligo/Leitrim Division,Drumshanbo,-8.039977,54.046503,10,3,0,0,28,17,1,0,6,19,11,0
Dublin Airport, D.M.R. Northern Division,Dublin Airport,-6.24501,53.429782,10,10,6,2,4,149,32,22,3,18,54,0
